Company Name,Credits or RECs,Status,Executed Contract Date,Watts (DC),Cost per Watt,Project,Clearloop Partner,Carbon Footprint (t CO2) ,RECs,Carbon Footprint (lbs CO2),Total Cost,Cost Per Unit,Percent of project,UPDATE THIS Number of Panels,# of homes powered by RE,# of homes powered by RE (from Project),W/MT (DC) (from Project),W/REC (DC) (from Project),Related Project,Project Name
SR CL Panola I - Aether Diamonds,RECs,Confirmed,3/21/23,"28,696",$0.40 ,SR CL Panola I,Aether Diamonds,775.57,1594.22,"1,710,126.49","11,478.42",7.2,0.43%,5.7,4.3,1000,37,18,91,Panola I
SR CL Jackson II - Aether Diamonds,Credits,Confirmed,6/22/21,1549,$0.32 ,SR CL Jackson II,Aether Diamonds,41.86,0,"92,312.03",502.49,12,0.11%,,0.2,200,37,,119,Jackson II
SR CL Jackson II - Aether Diamonds,Credits,Confirmed,2/1/22,2201,$0.32 ,SR CL Jackson II,Aether Diamonds,59.49,0,"131,167.70",704.41,11.84,0.16%,,0.3,200,37,,119,Jackson II
SR CL Panola I - Chicory Wealth,Credits,Confirmed,6/2/22,3981,$0.40 ,SR CL Panola I,Chicory Wealth,107.59,221.17,"237,246.08",1592.48,14.8,0.06%,0.8,0.6,1000,37,18,91,Panola I
SR CL Arcadia South - Chicory Wealth,Credits,Confirmed,4/17/24,2900,$0.53 ,SR CL Arcadia South,Chicory Wealth,100,152.63,"220,500",1550,15.5,0.05%,0.3,0.4,900,29,19,81,Arcadia South
SR CL Arcadia South - Chicory Wealth,Credits,Confirmed,2/5/25,3886,$0.60 ,SR CL Arcadia South,Chicory Wealth,134,,"295,470",2345,17.5,0.06%,,,,29,,81,Arcadia South
SR CL Jackson II - CIRCA/Impact Snacks/GeoProtein,Credits,Confirmed,6/25/20,895,$0.32 ,SR CL Jackson II,CIRCA/Impact Snacks/GeoProtein,24.19,0,"53,337.16",286.5,11.84,0.06%,,0.1,200,37,,119,Jackson II
SR CL Jackson II - CIRCA/Impact Snacks/GeoProtein,Credits,Confirmed,4/29/21,9342,$0.32 ,SR CL Jackson II,CIRCA/Impact Snacks/GeoProtein,252.49,0,"556,732.70",3000,11.88,0.67%,,1.3,200,37,,119,Jackson II
SR CL Jackson II - Coolperx,Credits,Confirmed,9/2/20,9250,$0.32 ,SR CL Jackson II,Coolperx,250,0,"551,250",3000,12,0.66%,,1.3,200,37,,119,Jackson II
SR CL Jackson II - Dropps,Credits,Confirmed,4/6/21,"21,815",$0.32 ,SR CL Jackson II,Dropps,589.59,0,"1,300,056.08",7075.08,12,1.56%,,3.1,200,37,,119,Jackson II
